rate_date,rate_id,bid,mid,ask,description
2020-04-01,5389595,0.6121,0.61225,0.6124, USD/AUD WMR 4PM LON Spot
2020-04-01,5389601,866.52,866.67,866.82, USD/CLP WMR 4PM LON Spot
2020-04-01,5389602,7.1057,7.1066,7.1075, USD/CNH WMR 4PM LON Spot
2020-04-01,5389603,7.1058,7.1058,7.1058, USD/CNY WMR 4PM LON Spot
